action_id,support,reference_correct,candidate_correct,reference_recall,candidate_recall,delta_recall,reference_f1,candidate_f1
A093,490,426,424,0.8693877551020408,0.8653061224489796,-0.004081632653061225,0.8658536585365854,0.8760330578512396
A094,487,430,427,0.8829568788501027,0.8767967145790554,-0.006160164271047228,0.893970893970894,0.8923719958202717
A095,489,475,472,0.9713701431492843,0.9652351738241309,-0.006134969325153374,0.923226433430515,0.9209756097560976
A096,490,470,471,0.9591836734693877,0.9612244897959183,0.0020408163265306124,0.9552845528455285,0.9544072948328267
A097,491,483,482,0.9837067209775967,0.9816700610997964,-0.002036659877800407,0.9907692307692307,0.9887179487179487
A098,490,484,484,0.9877551020408163,0.9877551020408163,0.0,0.983739837398374,0.9847405900305188
A099,491,472,475,0.9613034623217923,0.9674134419551935,0.006109979633401222,0.980269989615784,0.9824198552223371
A100,491,483,484,0.9837067209775967,0.9857433808553971,0.002036659877800407,0.9837067209775967,0.983739837398374
A101,491,489,489,0.9959266802443992,0.9959266802443992,0.0,0.978978978978979,0.9829145728643216
A102,491,471,474,0.9592668024439919,0.9653767820773931,0.006109979633401222,0.9553752535496958,0.9575757575757575
A103,492,358,361,0.7276422764227642,0.733739837398374,0.006097560975609756,0.7404343329886246,0.7568134171907757
A104,492,442,440,0.8983739837398373,0.8943089430894309,-0.0040650406504065045,0.9394261424017003,0.9361702127659575
A105,491,378,369,0.769857433808554,0.7515274949083504,-0.018329938900203666,0.7290260366441659,0.7263779527559056
A106,491,381,376,0.7759674134419552,0.7657841140529531,-0.010183299389002037,0.7831449126413155,0.7841501564129302
A107,492,343,355,0.6971544715447154,0.7215447154471545,0.024390243902439025,0.7376344086021506,0.7442348008385744
A108,491,447,446,0.9103869653767821,0.9083503054989817,-0.002036659877800407,0.8688046647230321,0.8702439024390244
A109,492,448,446,0.9105691056910569,0.9065040650406504,-0.0040650406504065045,0.9161554192229039,0.922440537745605
A110,490,400,401,0.8163265306122449,0.8183673469387756,0.0020408163265306124,0.8064516129032258,0.8142131979695432
A111,491,453,450,0.9226069246435845,0.9164969450101833,-0.006109979633401222,0.9151515151515152,0.9118541033434651
A112,492,480,480,0.975609756097561,0.975609756097561,0.0,0.9825997952917093,0.9795918367346939
A113,492,481,480,0.9776422764227642,0.975609756097561,-0.0020325203252032522,0.985655737704918,0.986639260020555
A114,491,465,465,0.9470468431771895,0.9470468431771895,0.0,0.9617373319544984,0.9587628865979382
A115,491,450,450,0.9164969450101833,0.9164969450101833,0.0,0.8919722497522299,0.9009009009009009
A116,492,466,470,0.9471544715447154,0.9552845528455285,0.008130081300813009,0.9568788501026694,0.962128966223132
A117,491,429,430,0.8737270875763747,0.8757637474541752,0.002036659877800407,0.9050632911392406,0.9052631578947369
A118,492,468,464,0.9512195121951219,0.943089430894309,-0.008130081300813009,0.9454545454545454,0.9421319796954315
A119,490,468,468,0.9551020408163265,0.9551020408163265,0.0,0.949290060851927,0.9483282674772037
A120,492,479,477,0.9735772357723578,0.9695121951219512,-0.0040650406504065045,0.9725888324873097,0.9744637385086823
